Accession,Gene Region,Collection Date,Locality
MN908947,complete,12/1/2019,China
MN970003,RdRP,1/8/2020,Thailand
MN970004,RdRP,1/13/2020,Thailand
MN938384,complete,1/1/2020,China: Shenzhen
MN938385,RdRP,1/1/2020,China: Shenzhen
MN938386,RdRP,1/1/2020,China: Shenzhen
MN938387,S,1/1/2020,China: Shenzhen
MN938388,S,1/1/2020,China: Shenzhen
MN938389,S,1/1/2020,China: Shenzhen
MN938390,S,1/1/2020,China: Shenzhen
MN975262,complete,1/1/2020,China
MN975263,RdRP,1/1/2020,China
MN975264,RdRP,1/1/2020,China
MN975265,RdRP,1/1/2020,China
MN975266,S,1/1/2020,China
MN975267,S,1/1/2020,China
MN975268,S,1/1/2020,China
MN985325,complete,1/19/2020,USA: WA
MN988713,complete,1/21/2020,USA: IL
